代码,名称,实际控制人,类型,总市值(亿)
000016,*ST康佳A,中国华润有限公司,国务院国资委(经央企集团),59.2
300212,*ST易录,中国电子科技集团有限公司,国务院国资委(经央企集团),58.9
600081,东风科技,东风汽车有限公司,国务院国资委(经央企集团),58.0
002419,天虹股份,中国航空工业集团有限公司,国务院国资委(经央企集团),56.3
000717,中南股份,中国宝武钢铁集团有限公司,国务院国资委(经央企集团),56.2
301516,中远通,"中国广核集团有限公司,吉学龙,张学军",国务院国资委(经央企集团),55.6
688707,振华新材,中国电子信息产业集团有限公司,国务院国资委(经央企集团),53.0
600231,凌钢股份,鞍钢集团有限公司,国务院国资委(经央企集团),51.4
600990,四创电子,中国电子科技集团有限公司,国务院国资委(经央企集团),50.6
600495,晋西车轴,中国兵器工业集团有限公司,国务院国资委(经央企集团),50.3
002066,瑞泰科技,中国建材集团有限公司,国务院国资委(经央企集团),50.0
301058,中粮科工,中粮集团有限公司,国务院国资委(经央企集团),49.5
000862,银星能源,中国铝业集团有限公司,国务院国资委(经央企集团),49.4
600523,贵航股份,中国航空工业集团有限公司,国务院国资委(经央企集团),49.0
000720,新能泰山,中国华能集团有限公司,国务院国资委(经央企集团),48.1
600071,凤凰光学,中国电子科技集团有限公司,国务院国资委(经央企集团),47.4
600178,东安动力,中国长安汽车集团有限公司,国务院国资委(经央企集团),46.6
600876,凯盛新能,中国建材集团有限公司,国务院国资委(经央企集团),46.6
603060,国检集团,中国建材集团有限公司,国务院国资委(经央企集团),45.3
000819,岳阳兴长,中国石油化工集团有限公司,国务院国资委(经央企集团),45.2
300557,理工光科,中国信息通信科技集团有限公司,国务院国资委(经央企集团),42.7
000798,中水渔业,中国农业发展集团有限公司,国务院国资委(经央企集团),42.4
600135,乐凯胶片,中国航天科技集团有限公司,国务院国资委(经央企集团),42.1
000731,四川美丰,中国石油化工集团有限公司,国务院国资委(经央企集团),42.0
002116,中国海诚,中国保利集团有限公司,国务院国资委(经央企集团),41.8
600505,西昌电力,国网四川省电力公司,国务院国资委(经央企集团),38.6
300105,龙源技术,国家能源投资集团有限责任公司,国务院国资委(经央企集团),38.3
600581,*ST八钢,中国宝武钢铁集团有限公司,国务院国资委(经央企集团),37.9
600262,北方股份,中国兵器工业集团有限公司,国务院国资委(经央企集团),37.4
002305,*ST南置,中国电力建设集团有限公司,国务院国资委(经央企集团),36.8
002037,保利联合,中国保利集团有限公司,国务院国资委(经央企集团),34.8
301311,昆船智能,"中船科技股份有限公司,中国船舶集团有限公司",国务院国资委(经央企集团),33.2
688722,同益中,国家开发投资集团有限公司,国务院国资委(经央企集团),32.6
000554,泰山石油,中国石油化工集团有限公司,国务院国资委(经央企集团),32.1
000635,英 力 特,国家能源投资集团有限责任公司,国务院国资委(经央企集团),29.4
300425,中建环能,中国建筑集团有限公司,国务院国资委(经央企集团),28.4
601798,蓝科高新,中国机械工业集团有限公司,国务院国资委(经央企集团),27.5
600560,金自天正,中国钢研科技集团有限公司,国务院国资委(经央企集团),25.7
600148,长春一东,中国兵器工业集团有限公司,国务院国资委(经央企集团),22.9
300396,ST迪瑞,中国华润有限公司,国务院国资委(经央企集团),19.8
