代码,名称,实际控制人,类型,总市值(亿)
000591,太阳能,国务院国有资产监督管理委员会,国务院国资委(直接),169.9
002320,海峡股份,国务院国有资产监督管理委员会,国务院国资委(直接),160.8
600528,中铁工业,国务院国有资产监督管理委员会,国务院国资委(直接),155.7
000537,绿发电力,国务院国有资产监督管理委员会,国务院国资委(直接),155.6
000927,中国铁物,国务院国有资产监督管理委员会,国务院国资委(直接),153.7
000778,新兴铸管,国务院国有资产监督管理委员会,国务院国资委(直接),152.2
000553,安道麦A,国务院国有资产监督管理委员会,国务院国资委(直接),141.0
000966,长源电力,国务院国有资产监督管理委员会,国务院国资委(直接),140.6
000410,沈阳机床,国务院国有资产监督管理委员会,国务院国资委(直接),140.4
600452,涪陵电力,国务院国有资产监督管理委员会,国务院国资委(直接),139.8
601965,中国汽研,国务院国有资产监督管理委员会,国务院国资委(直接),138.8
601068,中铝国际,国务院国有资产监督管理委员会,国务院国资委(直接),138.6
600056,中国医药,国务院国有资产监督管理委员会,国务院国资委(直接),136.4
600072,中船科技,国务院国有资产监督管理委员会,国务院国资委(直接),136.3
600916,中国黄金,国务院国有资产监督管理委员会,国务院国资委(直接),133.9
600764,中国海防,国务院国有资产监督管理委员会,国务院国资委(直接),131.5
300034,钢研高纳,国务院国有资产监督管理委员会,国务院国资委(直接),131.0
300070,碧水源,国务院国有资产监督管理委员会,国务院国资委(直接),128.3
600271,航天信息,国务院国有资产监督管理委员会,国务院国资委(直接),128.0
600744,华银电力,国务院国有资产监督管理委员会,国务院国资委(直接),126.5
000758,中色股份,国务院国有资产监督管理委员会,国务院国资委(直接),124.6
002182,宝武镁业,国务院国有资产监督管理委员会,国务院国资委(直接),122.0
002096,易普力,国务院国有资产监督管理委员会,国务院国资委(直接),120.2
600116,三峡水利,国务院国有资产监督管理委员会,国务院国资委(直接),119.9
000762,西藏矿业,国务院国有资产监督管理委员会,国务院国资委(直接),116.7
